  calibration error, mean |log10(model/actual)| per family:
    revenue        0.206   (1.61x typical error)
    capex          0.189   (1.55x typical error)
    power          0.115   (1.30x typical error)
    frontier_flop  0.283   (1.92x typical error)
    WEIGHTED       0.208   (1.61x)

  revenue $B      model   actual
    2020            0.02     0.05
    2021            0.23     0.15
    2022            0.89     0.40
    2023            2.58     2.60
    2024            5.29     7.00
    2025           13.38    26.00
    2026           59.23    62.00
  sector GW       model   actual
    2023            1.06     1.50
    2024            2.51     4.00
    2025            7.24     9.00
    2026           16.47    17.00
  capex $B        model   actual
    2020             4.0      2.0
    2021             7.8      5.0
    2022            21.4     12.0
    2023            52.3     30.0
    2024           101.6     95.0
    2025           314.4    220.0
    2026           544.0    380.0
  frontier run    model   actual
    2020-06     5.20e+23 3.10e+23  GPT-3 class
    2021-12     1.93e+24 6.30e+23  Gopher class
    2022-04     3.28e+24 2.50e+24  PaLM class
    2023-03     2.39e+25 2.10e+25  GPT-4 class
    2024-07     1.42e+26 3.80e+25  Llama 3.1 405B
    2024-12     1.42e+26 1.00e+26  o1 class
    2025-06     2.67e+26 4.00e+26  2025 frontier
    2026-03     5.00e+26 1.50e+27  2026 frontier
